work_order_id,unit_id,property_id,category,priority,status,description,date_raised,date_completed,cost_actual,cost_estimated,technician,tenant_reported
WO-1000,P-001-U03,P-001,Landscaping,Medium,Completed,Landscaping issue reported in P-001-U03,2025-03-13,2025-04-21,1665,1665,Tech-02,Yes
WO-1001,P-001-U04,P-001,HVAC,Low,Completed,HVAC issue reported in P-001-U04,2025-03-23,2025-04-06,484,484,Tech-07,No
WO-1002,P-001-U05,P-001,Landscaping,Medium,In Progress,Landscaping issue reported in P-001-U05,2025-03-04,,0,616,Tech-07,Yes
WO-1003,P-001-U05,P-001,Appliance,Medium,Completed,Appliance issue reported in P-001-U05,2024-12-12,2025-03-15,2308,2308,Tech-01,Yes
WO-1004,P-001-U05,P-001,Landscaping,Low,Completed,Landscaping issue reported in P-001-U05,2025-03-15,2025-05-05,987,987,Tech-03,No
WO-1005,P-001-U06,P-001,Pest Control,High,Completed,Pest Control issue reported in P-001-U06,2025-04-17,2025-05-24,1913,1913,Tech-07,Yes
WO-1006,P-001-U06,P-001,Pest Control,High,Open,Pest Control issue reported in P-001-U06,2025-02-09,,0,323,Tech-01,No
WO-1007,P-001-U08,P-001,Landscaping,Medium,In Progress,Landscaping issue reported in P-001-U08,2025-03-18,,0,1860,Tech-02,No
WO-1008,P-001-U08,P-001,Plumbing,Low,Completed,Plumbing issue reported in P-001-U08,2024-12-06,2025-03-01,2034,2034,Tech-02,No
WO-1009,P-001-U10,P-001,Landscaping,Medium,Completed,Landscaping issue reported in P-001-U10,2025-03-13,2025-04-19,1771,1771,Tech-04,No
WO-1010,P-001-U11,P-001,Electrical,Medium,Completed,Electrical issue reported in P-001-U11,2025-04-12,2025-04-13,2238,2238,Tech-06,No
WO-1011,P-001-U12,P-001,Structural,High,Completed,Structural issue reported in P-001-U12,2024-12-28,2025-04-23,860,860,Tech-02,Yes
WO-1012,P-001-U13,P-001,General,Low,In Progress,General issue reported in P-001-U13,2024-12-08,,0,1988,Tech-06,No
WO-1013,P-001-U13,P-001,HVAC,Medium,Completed,HVAC issue reported in P-001-U13,2025-03-22,2025-05-25,1390,1390,Tech-06,Yes
WO-1014,P-001-U13,P-001,Appliance,Medium,Completed,Appliance issue reported in P-001-U13,2025-03-19,2025-05-23,1660,1660,Tech-02,No
WO-1015,P-001-U14,P-001,Plumbing,Medium,Open,Plumbing issue reported in P-001-U14,2025-03-10,,0,921,Tech-08,Yes
WO-1016,P-001-U14,P-001,Plumbing,Medium,Open,Plumbing issue reported in P-001-U14,2025-05-10,,0,1556,Tech-03,Yes
WO-1017,P-001-U14,P-001,Structural,Low,Overdue,Structural issue reported in P-001-U14,2025-01-18,,0,2296,Tech-03,No
WO-1018,P-001-U15,P-001,Appliance,Medium,In Progress,Appliance issue reported in P-001-U15,2024-12-21,,0,364,Tech-06,Yes
WO-1019,P-001-U15,P-001,Pest Control,High,In Progress,Pest Control issue reported in P-001-U15,2025-03-28,,0,1313,Tech-03,No
WO-1020,P-001-U17,P-001,Pest Control,Medium,In Progress,Pest Control issue reported in P-001-U17,2025-04-28,,0,1755,Tech-02,No
WO-1021,P-001-U18,P-001,Pest Control,Low,In Progress,Pest Control issue reported in P-001-U18,2025-05-08,,0,2306,Tech-07,No
WO-1022,P-001-U18,P-001,Plumbing,Medium,Completed,Plumbing issue reported in P-001-U18,2025-03-05,2025-03-31,1027,1027,Tech-04,Yes
WO-1023,P-001-U18,P-001,HVAC,High,Completed,HVAC issue reported in P-001-U18,2025-01-22,2025-05-23,564,564,Tech-06,Yes
WO-1024,P-001-U19,P-001,HVAC,High,Open,HVAC issue reported in P-001-U19,2025-02-08,,0,828,Tech-01,No
WO-1025,P-001-U19,P-001,Pest Control,Medium,Completed,Pest Control issue reported in P-001-U19,2024-12-26,2025-03-21,1969,1969,Tech-08,Yes
WO-1026,P-001-U19,P-001,Structural,Medium,Open,Structural issue reported in P-001-U19,2025-04-12,,0,2071,Tech-06,No
WO-1027,P-001-U20,P-001,Appliance,Low,Completed,Appliance issue reported in P-001-U20,2025-04-20,2025-05-20,1864,1864,Tech-03,No
WO-1028,P-001-U20,P-001,Plumbing,Medium,Open,Plumbing issue reported in P-001-U20,2025-05-05,,0,2421,Tech-02,No
WO-1029,P-001-U20,P-001,Electrical,Low,Completed,Electrical issue reported in P-001-U20,2025-04-24,2025-05-05,2252,2252,Tech-02,Yes
WO-1030,P-001-U21,P-001,Pest Control,Low,Completed,Pest Control issue reported in P-001-U21,2025-01-23,2025-02-26,1773,1773,Tech-04,No
WO-1031,P-001-U21,P-001,Electrical,Medium,Completed,Electrical issue reported in P-001-U21,2024-12-16,2025-03-08,555,555,Tech-03,Yes
WO-1032,P-001-U21,P-001,Plumbing,Medium,Open,Plumbing issue reported in P-001-U21,2025-01-31,,0,718,Tech-08,Yes
WO-1033,P-001-U24,P-001,Structural,Low,Completed,Structural issue reported in P-001-U24,2025-02-12,2025-05-18,2311,2311,Tech-05,Yes
WO-1034,P-001-U24,P-001,Appliance,High,Completed,Appliance issue reported in P-001-U24,2025-05-15,2025-05-29,2022,2022,Tech-08,Yes
WO-1035,P-002-U01,P-002,HVAC,Medium,Completed,HVAC issue reported in P-002-U01,2025-03-31,2025-04-26,1595,1595,Tech-07,Yes
WO-1036,P-002-U03,P-002,Electrical,Low,Completed,Electrical issue reported in P-002-U03,2025-01-10,2025-05-27,2229,2229,Tech-07,No
WO-1037,P-002-U03,P-002,Plumbing,Medium,Overdue,Plumbing issue reported in P-002-U03,2025-05-27,,0,1188,Tech-06,Yes
WO-1038,P-002-U04,P-002,Structural,Low,In Progress,Structural issue reported in P-002-U04,2025-04-27,,0,1511,Tech-01,No
WO-1039,P-002-U04,P-002,Pest Control,Low,Completed,Pest Control issue reported in P-002-U04,2024-12-04,2025-01-30,2053,2053,Tech-03,Yes
WO-1040,P-002-U06,P-002,Plumbing,Medium,Completed,Plumbing issue reported in P-002-U06,2025-05-21,2025-05-27,967,967,Tech-05,No
WO-1041,P-002-U06,P-002,General,Medium,In Progress,General issue reported in P-002-U06,2025-03-19,,0,932,Tech-06,Yes
WO-1042,P-002-U06,P-002,Pest Control,Medium,In Progress,Pest Control issue reported in P-002-U06,2025-02-18,,0,1939,Tech-08,No
WO-1043,P-002-U07,P-002,HVAC,Medium,Completed,HVAC issue reported in P-002-U07,2025-03-24,2025-05-22,2276,2276,Tech-07,Yes
WO-1044,P-002-U07,P-002,Landscaping,Medium,Open,Landscaping issue reported in P-002-U07,2025-03-17,,0,2384,Tech-06,Yes
WO-1045,P-002-U09,P-002,Appliance,Medium,In Progress,Appliance issue reported in P-002-U09,2025-04-19,,0,1895,Tech-08,No
WO-1046,P-002-U09,P-002,General,Emergency,Open,General issue reported in P-002-U09,2024-12-25,,0,1594,Tech-07,No
WO-1047,P-002-U12,P-002,Pest Control,Medium,In Progress,Pest Control issue reported in P-002-U12,2025-05-24,,0,805,Tech-03,No
WO-1048,P-002-U12,P-002,Plumbing,High,Completed,Plumbing issue reported in P-002-U12,2025-02-28,2025-04-13,1650,1650,Tech-01,Yes
WO-1049,P-002-U12,P-002,General,Low,Completed,General issue reported in P-002-U12,2025-01-05,2025-04-27,464,464,Tech-06,No
WO-1050,P-003-U01,P-003,Appliance,Medium,Completed,Appliance issue reported in P-003-U01,2025-01-24,2025-02-22,912,912,Tech-02,No
WO-1051,P-003-U01,P-003,Appliance,Low,Completed,Appliance issue reported in P-003-U01,2024-12-05,2025-01-27,1319,1319,Tech-04,Yes
WO-1052,P-003-U02,P-003,Electrical,Medium,Open,Electrical issue reported in P-003-U02,2025-05-09,,0,1973,Tech-06,No
WO-1053,P-003-U04,P-003,Appliance,Low,In Progress,Appliance issue reported in P-003-U04,2025-02-28,,0,863,Tech-04,Yes
WO-1054,P-003-U04,P-003,Structural,Low,Completed,Structural issue reported in P-003-U04,2025-05-25,2025-05-30,2173,2173,Tech-06,No
WO-1055,P-003-U05,P-003,Electrical,High,Completed,Electrical issue reported in P-003-U05,2025-01-17,2025-02-16,2110,2110,Tech-07,Yes
WO-1056,P-003-U06,P-003,Pest Control,Medium,Completed,Pest Control issue reported in P-003-U06,2025-03-04,2025-05-16,2269,2269,Tech-03,Yes
WO-1057,P-003-U07,P-003,Plumbing,Low,Completed,Plumbing issue reported in P-003-U07,2025-04-19,2025-05-22,1395,1395,Tech-06,Yes
